# target name                  accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#          ------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
Scaffold_6_HRSCAF_40_arrow     -          all_tr_seqs          -               19      79 73280873 73280933 73280853 73280952 79235845    +       0.046   20.3   4.8  -
Scaffold_78_HRSCAF_679_arrow   -          all_tr_seqs          -               19      79 22543590 22543650 22543570 22543669 68525979    +       0.046   20.3   4.8  -
Scaffold_538_HRSCAF_2709_arrow -          all_tr_seqs          -               18      84 30951062 30950997 30951078 30950972 59398771    -       0.047   20.3   3.8  -
Scaffold_83_HRSCAF_700_arrow   -          all_tr_seqs          -               19      78 27117466 27117525 27117446 27117545 66732361    +       0.047   20.3   4.6  -
Scaffold_6_HRSCAF_40_arrow     -          all_tr_seqs          -               18      77 42252120 42252179 42252100 42252199 79235845    +       0.048   20.3   4.8  -
Scaffold_612_HRSCAF_3546_arrow -          all_tr_seqs          -               20      79 55698299 55698240 55698319 55698220 67732284    -       0.048   20.3   3.1  -
Scaffold_462_HRSCAF_1986_arrow -          all_tr_seqs          -               19      79 48158129 48158069 48158149 48158049 59385650    -       0.048   20.3   4.9  -
Scaffold_612_HRSCAF_3546_arrow -          all_tr_seqs          -               19      79  3583446  3583386  3583466  3583366 67732284    -       0.048   20.3   4.9  -
Scaffold_620_HRSCAF_3607_arrow -          all_tr_seqs          -               19      79 43835859 43835919 43835839 43835939 67730917    +       0.048   20.3   4.9  -
Scaffold_620_HRSCAF_3607_arrow -          all_tr_seqs          -               19      79 44052022 44052082 44052002 44052102 67730917    +       0.048   20.3   4.9  -
Scaffold_620_HRSCAF_3607_arrow -          all_tr_seqs          -               19      79 44075442 44075502 44075422 44075522 67730917    +       0.048   20.3   4.9  -
Scaffold_538_HRSCAF_2709_arrow -          all_tr_seqs          -               19      79  5686907  5686967  5686887  5686986 59398771    +       0.049   20.3   3.6  -
Scaffold_538_HRSCAF_2709_arrow -          all_tr_seqs          -               19      79  5690506  5690566  5690486  5690585 59398771    +       0.049   20.3   3.6  -
Scaffold_620_HRSCAF_3607_arrow -          all_tr_seqs          -               19      79 43829688 43829748 43829668 43829767 67730917    +       0.049   20.3   4.9  -
Scaffold_620_HRSCAF_3607_arrow -          all_tr_seqs          -               19      79 44058295 44058355 44058275 44058374 67730917    +       0.049   20.3   4.9  -
Scaffold_620_HRSCAF_3607_arrow -          all_tr_seqs          -               19      79 44064636 44064696 44064616 44064715 67730917    +       0.049   20.3   4.9  -
Scaffold_83_HRSCAF_700_arrow   -          all_tr_seqs          -               19      68 27177844 27177893 27177825 27177913 66732361    +       0.049   20.2   2.3  -
Scaffold_538_HRSCAF_2709_arrow -          all_tr_seqs          -               18      79 39953245 39953184 39953264 39953164 59398771    -        0.05   20.2   5.4  -
Scaffold_6_HRSCAF_40_arrow     -          all_tr_seqs          -               20      79 57667969 57667910 57667989 57667891 79235845    -        0.05   20.2   4.4  -
Scaffold_612_HRSCAF_3546_arrow -          all_tr_seqs          -               19      79  3589639  3589579  3589659  3589563 67732284    -        0.05   20.2   4.8  -
Scaffold_78_HRSCAF_679_arrow   -          all_tr_seqs          -               18      72  2799880  2799934  2799860  2799956 68525979    +        0.05   20.2   4.0  -
Scaffold_621_HRSCAF_3608_arrow -          all_tr_seqs          -               19      79 33703753 33703813 33703733 33703832 57862457    +        0.05   20.2   4.9  -
Scaffold_78_HRSCAF_679_arrow   -          all_tr_seqs          -               19      79 44578038 44577978 44578058 44577960 68525979    -       0.051   20.2   3.7  -
Scaffold_78_HRSCAF_679_arrow   -          all_tr_seqs          -               20      78 18856350 18856292 18856370 18856271 68525979    -       0.051   20.2   5.2  -
Scaffold_612_HRSCAF_3546_arrow -          all_tr_seqs          -               19      79 27755140 27755200 27755120 27755220 67732284    +       0.053   20.1   3.8  -
Scaffold_619_HRSCAF_3606_arrow -          all_tr_seqs          -               19      79 21994745 21994685 21994765 21994665 52901414    -       0.053   20.1   3.8  -
Scaffold_83_HRSCAF_700_arrow   -          all_tr_seqs          -               19      79 59722404 59722464 59722384 59722484 66732361    +       0.053   20.1   3.8  -
Scaffold_612_HRSCAF_3546_arrow -          all_tr_seqs          -               19      79 27752497 27752557 27752477 27752576 67732284    +       0.053   20.1   3.8  -
Scaffold_612_HRSCAF_3546_arrow -          all_tr_seqs          -               19      79 46916851 46916791 46916871 46916772 67732284    -       0.053   20.1   3.8  -
Scaffold_619_HRSCAF_3606_arrow -          all_tr_seqs          -               19      79 21988584 21988524 21988604 21988505 52901414    -       0.053   20.1   3.8  -
Scaffold_620_HRSCAF_3607_arrow -          all_tr_seqs          -               19      79 28431438 28431378 28431458 28431359 67730917    -       0.053   20.1   3.8  -
Scaffold_622_HRSCAF_3609_arrow -          all_tr_seqs          -               19      79 17026241 17026181 17026261 17026162 52377468    -       0.053   20.1   3.8  -
Scaffold_83_HRSCAF_700_arrow   -          all_tr_seqs          -               19      79  3257409  3257469  3257389  3257488 66732361    +       0.053   20.1   3.8  -
Scaffold_83_HRSCAF_700_arrow   -          all_tr_seqs          -               19      79  3263569  3263629  3263549  3263648 66732361    +       0.053   20.1   3.8  -
Scaffold_83_HRSCAF_700_arrow   -          all_tr_seqs          -               19      79 59710010 59710070 59709990 59710089 66732361    +       0.053   20.1   3.8  -
Scaffold_83_HRSCAF_700_arrow   -          all_tr_seqs          -               19      79 59716213 59716273 59716193 59716292 66732361    +       0.053   20.1   3.8  -
Scaffold_83_HRSCAF_700_arrow   -          all_tr_seqs          -               19      79 43549855 43549795 43549875 43549776 66732361    -       0.053   20.1   3.8  -
Scaffold_612_HRSCAF_3546_arrow -          all_tr_seqs          -               20      88 32328800 32328867 32328780 32328887 67732284    +       0.054   20.1   2.8  -
Scaffold_622_HRSCAF_3609_arrow -          all_tr_seqs          -               20      79 26632380 26632321 26632400 26632301 52377468    -       0.054   20.1   3.8  -
Scaffold_622_HRSCAF_3609_arrow -          all_tr_seqs          -               18      73 34429889 34429834 34429909 34429811 52377468    -       0.054   20.1   3.7  -
Scaffold_621_HRSCAF_3608_arrow -          all_tr_seqs          -               17      78 19683113 19683052 19683134 19683031 57862457    -       0.054   20.1   3.6  -
Scaffold_622_HRSCAF_3609_arrow -          all_tr_seqs          -               20      79 26626278 26626219 26626298 26626200 52377468    -       0.054   20.1   3.8  -
Scaffold_78_HRSCAF_679_arrow   -          all_tr_seqs          -               18      78  4694327  4694387  4694308  4694416 68525979    +       0.055   20.1   4.1  -
Scaffold_620_HRSCAF_3607_arrow -          all_tr_seqs          -               20      79  3066205  3066146  3066225  3066126 67730917    -       0.055   20.1   4.9  -
Scaffold_538_HRSCAF_2709_arrow -          all_tr_seqs          -               20      79 50246681 50246622 50246701 50246603 59398771    -       0.055   20.1   4.9  -
Scaffold_538_HRSCAF_2709_arrow -          all_tr_seqs          -               20      79 50252770 50252711 50252790 50252692 59398771    -       0.055   20.1   4.9  -
Scaffold_612_HRSCAF_3546_arrow -          all_tr_seqs          -               20      79 27808040 27808099 27808020 27808118 67732284    +       0.055   20.1   4.9  -
Scaffold_620_HRSCAF_3607_arrow -          all_tr_seqs          -               20      79 40391111 40391170 40391091 40391189 67730917    +       0.055   20.1   4.9  -
Scaffold_612_HRSCAF_3546_arrow -          all_tr_seqs          -               18      79  6055593  6055654  6055574  6055673 67732284    +       0.055   20.1   4.7  -
Scaffold_621_HRSCAF_3608_arrow -          all_tr_seqs          -               11      76  5288990  5289055  5288979  5289072 57862457    +       0.056   20.1   4.2  -
Scaffold_620_HRSCAF_3607_arrow -          all_tr_seqs          -               17      74 14080480 14080537 14080466 14080559 67730917    +       0.056   20.1   3.1  -
Scaffold_612_HRSCAF_3546_arrow -          all_tr_seqs          -               18      79 11266397 11266336 11266416 11266317 67732284    -       0.057   20.0   4.7  -
Scaffold_622_HRSCAF_3609_arrow -          all_tr_seqs          -               18      79 17693467 17693528 17693448 17693547 52377468    +       0.057   20.0   4.7  -
Scaffold_622_HRSCAF_3609_arrow -          all_tr_seqs          -               18      79 17699448 17699509 17699429 17699528 52377468    +       0.057   20.0   4.7  -
Scaffold_78_HRSCAF_679_arrow   -          all_tr_seqs          -               18      79 56261776 56261715 56261795 56261696 68525979    -       0.057   20.0   4.7  -
Scaffold_83_HRSCAF_700_arrow   -          all_tr_seqs          -               13      68  4693768  4693713  4693781  4693693 66732361    -       0.059   20.0   0.2  -
Scaffold_619_HRSCAF_3606_arrow -          all_tr_seqs          -               22      79 36848728 36848785 36848708 36848804 52901414    +        0.06   20.0   3.5  -
Scaffold_619_HRSCAF_3606_arrow -          all_tr_seqs          -               22      79 36859510 36859567 36859490 36859586 52901414    +        0.06   20.0   3.5  -
Scaffold_621_HRSCAF_3608_arrow -          all_tr_seqs          -               19      79 54601047 54601107 54601027 54601125 57862457    +       0.061   19.9   4.5  -
Scaffold_621_HRSCAF_3608_arrow -          all_tr_seqs          -               19      79 54606692 54606752 54606672 54606770 57862457    +       0.061   19.9   4.5  -
Scaffold_622_HRSCAF_3609_arrow -          all_tr_seqs          -               19      79  2698958  2699018  2698938  2699036 52377468    +       0.061   19.9   4.5  -
Scaffold_83_HRSCAF_700_arrow   -          all_tr_seqs          -               19      79 46980932 46980872 46980952 46980854 66732361    -       0.061   19.9   4.5  -
Scaffold_620_HRSCAF_3607_arrow -          all_tr_seqs          -               20      89 40263018 40262950 40263038 40262930 67730917    -       0.062   19.9   4.7  -
Scaffold_622_HRSCAF_3609_arrow -          all_tr_seqs          -               20      79 26608660 26608601 26608680 26608587 52377468    -       0.062   19.9   3.9  -
Scaffold_620_HRSCAF_3607_arrow -          all_tr_seqs          -               20      78 28437543 28437485 28437563 28437466 67730917    -       0.062   19.9   3.9  -
Scaffold_621_HRSCAF_3608_arrow -          all_tr_seqs          -               20      73 18182726 18182673 18182744 18182663 57862457    -       0.063   19.9   2.7  -
Scaffold_462_HRSCAF_1986_arrow -          all_tr_seqs          -               16      68 28291739 28291687 28291757 28291670 59385650    -       0.063   19.9   0.4  -
Scaffold_622_HRSCAF_3609_arrow -          all_tr_seqs          -               20      78 18221666 18221724 18221646 18221754 52377468    +       0.065   19.8   3.7  -
Scaffold_612_HRSCAF_3546_arrow -          all_tr_seqs          -               19      77  7525582  7525640  7525562  7525661 67732284    +       0.066   19.8   5.5  -
Scaffold_6_HRSCAF_40_arrow     -          all_tr_seqs          -               20      79 56236272 56236213 56236292 56236195 79235845    -       0.067   19.8   5.3  -
Scaffold_622_HRSCAF_3609_arrow -          all_tr_seqs          -               20      78  2669520  2669462  2669540  2669446 52377468    -       0.067   19.8   5.0  -
Scaffold_622_HRSCAF_3609_arrow -          all_tr_seqs          -               20      79  2692965  2693024  2692945  2693042 52377468    +       0.069   19.8   5.2  -
Scaffold_538_HRSCAF_2709_arrow -          all_tr_seqs          -               16      98   995374   995456   995359   995457 59398771    +       0.069   19.8   3.7  -
Scaffold_78_HRSCAF_679_arrow   -          all_tr_seqs          -               21      79 54778016 54777958 54778036 54777939 68525979    -       0.069   19.8   4.2  -
Scaffold_620_HRSCAF_3607_arrow -          all_tr_seqs          -               19      89 20288069 20288000 20288089 20287989 67730917    -       0.069   19.8   3.6  -
Scaffold_620_HRSCAF_3607_arrow -          all_tr_seqs          -               19      89 20294106 20294037 20294126 20294026 67730917    -       0.069   19.8   3.6  -
Scaffold_620_HRSCAF_3607_arrow -          all_tr_seqs          -               19      89 20300141 20300072 20300161 20300061 67730917    -       0.069   19.8   3.6  -
Scaffold_78_HRSCAF_679_arrow   -          all_tr_seqs          -               19      89 66953728 66953797 66953708 66953808 68525979    +       0.069   19.8   3.6  -
Scaffold_78_HRSCAF_679_arrow   -          all_tr_seqs          -               19      89 66959847 66959916 66959827 66959927 68525979    +       0.069   19.8   3.6  -
Scaffold_78_HRSCAF_679_arrow   -          all_tr_seqs          -               19      89 66960842 66960911 66960822 66960922 68525979    +       0.069   19.8   3.6  -
