# target name         accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
# ------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
HAP2_SCAFFOLD_26      -          all_tr_seqs          -               10      70   1390114   1390054   1390123   1390036   1986454    -        0.91   18.0   0.1  -
HAP3_SUPER_4          -          all_tr_seqs          -               10      70  14893087  14893027  14893096  14893009  75370358    -        0.91   18.0   0.1  -
HAP2_SUPER_6          -          all_tr_seqs          -               16      77  40412930  40412869  40412948  40412847  74197852    -        0.93   17.9   4.7  -
HAP3_SUPER_3          -          all_tr_seqs          -                8      71  65277590  65277653  65277583  65277674  82926109    +        0.93   17.9   0.3  -
HAP4_SUPER_3          -          all_tr_seqs          -                8      71  63886137  63886200  63886130  63886221  86209777    +        0.93   17.9   0.3  -
HAP2_SUPER_7          -          all_tr_seqs          -               12      79  76828862  76828795  76828875  76828781  80646205    -        0.94   17.9   1.0  -
HAP3_SUPER_7          -          all_tr_seqs          -               12      79  77884176  77884109  77884189  77884095  81930397    -        0.94   17.9   1.0  -
HAP2_SUPER_2          -          all_tr_seqs          -               12      76  68657495  68657431  68657506  68657411  91274010    -        0.95   17.9   2.0  -
HAP2_SUPER_2          -          all_tr_seqs          -               10      71   5038208   5038147   5038217   5038126  91274010    -        0.96   17.9   0.2  -
HAP4_SUPER_9          -          all_tr_seqs          -               14      71  37993080  37993023  37993093  37993003  82252969    -        0.97   17.9   0.7  -
HAP3_SUPER_2          -          all_tr_seqs          -               18      72  15125513  15125459  15125532  15125437  99305196    -        0.98   17.9   4.5  -
HAP3_SUPER_2          -          all_tr_seqs          -               10      71  12325505  12325444  12325514  12325423  99305196    -        0.98   17.9   0.2  -
HAP4_SUPER_6          -          all_tr_seqs          -               10      71  60075146  60075207  60075137  60075228  85432842    +        0.99   17.9   1.3  -
HAP2_SCAFFOLD_302     -          all_tr_seqs          -               18     108     21467     21555     21448     21577     33213    +           1   17.8   1.6  -
HAP2_SUPER_7          -          all_tr_seqs          -               14      71  31831945  31831888  31831958  31831867  80646205    -           1   17.8   0.2  -
HAP3_SUPER_7          -          all_tr_seqs          -               14      71  36550216  36550273  36550203  36550294  81930397    +           1   17.8   0.2  -
HAP4_SUPER_1          -          all_tr_seqs          -               15      70  80552911  80552966  80552897  80552987 124928096    +           1   17.8   0.9  -
HAP3_SUPER_1          -          all_tr_seqs          -               11      71 110074435 110074375 110074445 110074354 117562012    -         1.1   17.8   0.1  -
HAP4_SUPER_8          -          all_tr_seqs          -               16      83  19933952  19933883  19933971  19933869  86956920    -         1.1   17.7   1.1  -
HAP2_SUPER_9          -          all_tr_seqs          -               17      78  15746249  15746310  15746232  15746325  79048219    +         1.1   17.7   0.6  -
HAP4_SUPER_9          -          all_tr_seqs          -               17      78  15830301  15830362  15830284  15830377  82252969    +         1.1   17.7   0.6  -
HAP2_SUPER_7          -          all_tr_seqs          -               11      71  31831704  31831644  31831714  31831623  80646205    -         1.1   17.7   0.0  -
HAP2_SCAFFOLD_32      -          all_tr_seqs          -               11      71    107135    107075    107145    107054   1281000    -         1.1   17.7   0.2  -
HAP2_SCAFFOLD_32      -          all_tr_seqs          -               11      71    107391    107331    107401    107310   1281000    -         1.1   17.7   0.2  -
